                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0633,                 3.7446,                 1.3378,                0.01931,                0.23077,                0.15341,                0.06675,                 1.4469,                 3.3828,                 1.0682,             0.00010002,             0.00010002,             0.00010002
                      2,                  1.714,                  2.603,                 1.1251,                 0.0218,                0.32479,                0.22552,                0.09175,                 1.3959,                 3.1448,                 1.0234,             0.00020956,             0.00020956,             0.00020956
                      3,                 1.7826,                 1.4674,                 1.1235,                0.02829,                0.45726,                0.39814,                0.20726,                 1.4422,                  2.747,                  1.032,              0.0003114,              0.0003114,              0.0003114
                      4,                 1.7286,                 1.6292,                 1.1134,                0.68088,                0.40171,                0.34397,                0.18264,                 1.6129,                 2.6007,                 1.1112,             0.00040553,             0.00040553,             0.00040553
                      5,                 1.6141,                 1.4586,                 1.1184,                0.99208,                 0.2654,                0.42015,                0.23544,                 1.4539,                 2.4779,                 1.0656,             0.00049197,             0.00049197,             0.00049197
                      6,                 1.6073,                 1.2783,                 1.0978,                0.02967,                0.46154,                0.38002,                0.21372,                 1.5032,                 2.5785,                 1.0773,              0.0005707,              0.0005707,              0.0005707
                      7,                 1.6978,                 1.3908,                 1.1568,                0.03164,                0.47863,                0.37866,                0.21823,                 1.4319,                 2.5905,                 1.0786,             0.00064173,             0.00064173,             0.00064173
                      8,                 1.6519,                 1.2838,                 1.1192,                0.98521,                 0.1402,                0.39948,                0.22334,                 1.4066,                 2.3629,                 1.1033,             0.00070506,             0.00070506,             0.00070506
                      9,                 1.5844,                 1.2296,                 1.1384,                0.98213,                 0.2306,                0.41661,                0.22864,                 1.4887,                 2.2263,                 1.1317,             0.00076069,             0.00076069,             0.00076069
                     10,                   1.61,                 1.1621,                 1.1228,                0.96907,                0.25927,                0.41692,                0.22002,                 1.5794,                 2.1228,                 1.1657,             0.00080861,             0.00080861,             0.00080861
                     11,                 1.6245,                 1.1533,                 1.1091,                0.96874,                0.35043,                0.45003,                0.25729,                 1.4865,                 1.8479,                 1.1651,             0.00084884,             0.00084884,             0.00084884
                     12,                 1.5832,                 1.0682,                  1.086,                0.95385,                0.33619,                0.44529,                0.26142,                 1.4433,                 1.8799,                 1.1361,             0.00088136,             0.00088136,             0.00088136
                     13,                 1.6283,                 1.1185,                 1.1209,                 0.9405,                0.34806,                0.41771,                0.23994,                 1.4647,                 1.9337,                 1.1501,             0.00090618,             0.00090618,             0.00090618
                     14,                 1.5555,                 1.0839,                 1.0753,                 0.9405,                0.34806,                0.41771,                0.23994,                 1.4647,                 1.9337,                 1.1501,              0.0009233,              0.0009233,              0.0009233
                     15,                 1.5747,                 1.1817,                  1.114,                0.93524,                0.25853,                0.38332,                0.20694,                 1.5141,                 2.1254,                 1.1892,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.6153,                 1.1771,                 1.1025,                0.82715,                0.32906,                0.33503,                 0.1698,                 1.5722,                 1.8746,                  1.172,             0.00089685,             0.00089685,             0.00089685
                     17,                  1.672,                 1.1467,                    1.1,                0.87259,                0.38742,                0.37471,                0.20948,                 1.4862,                 1.5806,                 1.1248,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.5726,                 1.0976,                 1.0901,                0.91038,                0.46154,                0.43176,                 0.2411,                  1.441,                 1.2714,                  1.104,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.5667,                 1.0595,                 1.0982,                0.96954,                0.46113,                0.47536,                0.27825,                 1.4024,                 1.0737,                 1.0917,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.5407,                 1.1057,                 1.1358,                0.96729,                0.46154,                0.48374,                0.28357,                 1.3835,                 1.0316,                 1.0964,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.4937,                 1.1426,                 1.1289,                0.96963,                0.46581,                 0.4781,                0.26653,                 1.4577,                 1.0794,                 1.1375,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.5742,                 1.1061,                 1.1234,                0.96963,                0.46581,                 0.4781,                0.26653,                 1.4577,                 1.0794,                 1.1375,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.4835,                 1.0731,                 1.1279,                0.97802,                0.46464,                0.48121,                0.26823,                 1.4702,                 1.0836,                 1.1483,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.4542,                 1.0467,                 1.0854,                0.98228,                0.46523,                0.48505,                0.27604,                 1.4444,                 1.0864,                 1.1401,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.4562,                 1.0264,                 1.0883,                0.98189,                0.47009,                0.48845,                0.27957,                 1.4181,                 1.0926,                 1.1193,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.4307,                 1.0436,                 1.0856,                0.98752,                0.46581,                0.49111,                0.28718,                 1.3973,                  1.074,                 1.1059,             0.00034674,             0.00034674,             0.00034674
                     27,                  1.449,                 1.0033,                 1.0879,                0.98667,                0.46792,                 0.4913,                 0.2928,                 1.3667,                 1.0448,                 1.1001,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.4029,                0.97527,                 1.0729,                0.98234,                0.46699,                0.49171,                0.29825,                 1.3402,                 1.0135,                 1.0919,             0.00023671,             0.00023671,             0.00023671
                     29,                  1.428,                0.99606,                 1.0805,                0.98108,                0.47009,                0.49285,                0.29947,                 1.3318,                0.98839,                 1.0879,              0.0001817,              0.0001817,              0.0001817
                     30,                 1.4153,                0.96666,                 1.0804,                0.98108,                0.47009,                0.49285,                0.29947,                 1.3318,                0.98839,                 1.0879,             0.00012669,             0.00012669,             0.00012669
